2019/04/01,48
2019/04/02,32
2019/04/03,43
2019/04/04,49
2019/04/05,46
2019/04/06,35
2019/04/07,18
2019/04/08,23
2019/04/09,13
2019/04/10,36
2019/04/11,37
2019/04/12,47
2019/04/13,41
2019/04/14,16
2019/04/15,16
2019/04/16,14
2019/04/17,16
2019/04/18,17
2019/04/19,14
2019/04/20,13
2019/04/21,19
2019/04/22,13
2019/04/23,9
2019/04/24,15
2019/04/25,20
2019/04/26,17
2019/04/27,10
2019/04/28,21
2019/04/29,33
2019/04/30,18
2019/05/01,19
2019/05/02,16
2019/05/03,24
2019/05/04,28
2019/05/05,37
2019/05/06,39
2019/05/07,48
2019/05/08,44
2019/05/09,56
2019/05/10,51
2019/05/11,79
2019/05/12,92
2019/05/13,12
2019/05/14,29
2019/05/15,26
2019/05/16,23
2019/05/17,22
2019/05/18,37
2019/05/19,80
2019/05/20,67
2019/05/21,14
2019/05/22,21
2019/05/23,23
2019/05/24,76
2019/05/25,42
2019/05/26,60
2019/05/27,37
2019/05/28,17
2019/05/29,22
2019/05/30,22
2019/05/31,39
