2019/04/01,60
2019/04/02,65
2019/04/03,69
2019/04/04,53
2019/04/05,69
2019/04/06,58
2019/04/07,21
2019/04/08,32
2019/04/09,21
2019/04/10,51
2019/04/11,59
2019/04/12,44
2019/04/13,55
2019/04/14,23
2019/04/15,19
2019/04/16,21
2019/04/17,16
2019/04/18,21
2019/04/19,26
2019/04/20,23
2019/04/21,27
2019/04/22,31
2019/04/23,32
2019/04/24,50
2019/04/25,31
2019/04/26,41
2019/04/27,27
2019/04/28,57
2019/04/29,71
2019/04/30,29
2019/05/01,25
2019/05/02,31
2019/05/03,37
2019/05/04,61
2019/05/05,64
2019/05/06,75
2019/05/07,70
2019/05/08,55
2019/05/09,120
2019/05/10,79
2019/05/11,136
2019/05/12,177
2019/05/13,31
2019/05/14,30
2019/05/15,19
2019/05/16,29
2019/05/17,29
2019/05/18,37
2019/05/19,77
2019/05/20,77
2019/05/21,32
2019/05/22,15
2019/05/23,36
2019/05/24,55
2019/05/25,108
2019/05/26,84
2019/05/27,28
2019/05/28,39
2019/05/29,50
2019/05/30,24
2019/05/31,35
