2019/04/01,44
2019/04/02,41
2019/04/03,44
2019/04/04,38
2019/04/05,34
2019/04/06,38
2019/04/07,8
2019/04/08,16
2019/04/09,16
2019/04/10,29
2019/04/11,36
2019/04/12,27
2019/04/13,28
2019/04/14,14
2019/04/15,5
2019/04/16,7
2019/04/17,9
2019/04/18,14
2019/04/19,13
2019/04/20,14
2019/04/21,9
2019/04/22,17
2019/04/23,13
2019/04/24,12
2019/04/25,10
2019/04/26,16
2019/04/27,4
2019/04/28,30
2019/04/29,35
2019/04/30,17
2019/05/01,24
2019/05/02,18
2019/05/03,12
2019/05/04,20
2019/05/05,44
2019/05/06,35
2019/05/07,31
2019/05/08,29
2019/05/09,43
2019/05/10,40
2019/05/11,83
2019/05/12,114
2019/05/13,24
2019/05/14,17
2019/05/15,25
2019/05/16,21
2019/05/17,30
2019/05/18,29
2019/05/19,54
2019/05/20,61
2019/05/21,25
2019/05/22,17
2019/05/23,13
2019/05/24,35
2019/05/25,42
2019/05/26,63
2019/05/27,20
2019/05/28,12
2019/05/29,21
2019/05/30,12
2019/05/31,16
