transaction_date,transaction_time,customer_id,product_id,quantity,unit_price,total_price
2019-05-01,06:01:51,8090,50,2,2.50,5.00
2019-05-01,06:07:04,5182,59,5,4.50,22.50
2019-05-01,06:10:55,5864,43,2,3.00,6.00
2019-05-01,06:25:20,8158,27,1,3.50,3.50
2019-05-01,06:26:11,8180,69,1,3.50,3.50
2019-05-01,06:27:02,5217,16,1,8.95,8.95
2019-05-01,06:27:14,8369,32,2,3.00,6.00
2019-05-01,06:34:02,5906,52,3,2.75,8.25
2019-05-01,06:35:47,8071,87,1,3.00,3.00
2019-05-01,06:36:42,5493,46,2,2.50,5.00
2019-05-01,06:43:24,5800,36,1,3.75,3.75
2019-05-01,06:45:01,8399,32,1,3.00,3.00
2019-05-01,06:47:34,5083,49,1,3.00,3.00
2019-05-01,06:55:27,5246,22,1,2.00,2.00
2019-05-01,06:56:35,8264,73,1,3.75,3.75
2019-05-01,06:56:45,8252,46,1,2.50,2.50
2019-05-01,07:02:00,5795,27,1,3.50,3.50
2019-05-01,07:04:04,8350,79,2,3.75,7.50
2019-05-01,07:08:11,5320,27,2,3.50,7.00
2019-05-01,07:11:01,8402,26,2,3.00,6.00
2019-05-01,07:12:10,5401,39,1,4.50,4.50
2019-05-01,07:12:33,5635,73,2,3.75,7.50
2019-05-01,07:14:53,5013,50,1,2.50,2.50
2019-05-01,07:15:43,8101,87,2,3.00,6.00
2019-05-01,07:17:48,5466,59,1,4.50,4.50
2019-05-01,07:21:01,5474,35,2,3.10,6.20
2019-05-01,07:21:01,8139,22,1,2.00,2.00
2019-05-01,07:24:21,8383,40,1,4.00,4.00
2019-05-01,07:26:29,5320,58,2,3.50,7.00
2019-05-01,07:30:31,8261,56,1,2.80,2.80
2019-05-01,07:30:36,8371,26,3,3.00,9.00
2019-05-01,07:31:46,8230,52,1,2.75,2.75
2019-05-01,07:32:39,8018,31,1,2.20,2.20
2019-05-01,07:37:00,5284,9,1,22.50,22.50
2019-05-01,07:37:33,8428,27,1,3.50,3.50
2019-05-01,07:38:05,8019,25,2,2.20,4.40
2019-05-01,07:46:14,5263,64,1,0.80,0.80
2019-05-01,07:46:51,8356,38,2,4.00,8.00
2019-05-01,07:51:29,8370,50,2,2.50,5.00
2019-05-01,07:51:31,8446,52,3,2.75,8.25
2019-05-01,07:56:36,8493,22,2,2.00,4.00
2019-05-01,08:00:10,8275,65,2,0.80,1.60
2019-05-01,08:06:28,5628,56,1,2.80,2.80
2019-05-01,08:10:51,8330,43,2,3.00,6.00
2019-05-01,08:11:05,8198,77,2,3.00,6.00
2019-05-01,08:11:42,8401,43,5,3.00,15.00
2019-05-01,08:15:03,8116,42,2,2.50,5.00
2019-05-01,08:16:48,5236,71,1,3.75,3.75
2019-05-01,08:21:54,8219,57,1,3.35,3.35
2019-05-01,08:24:44,5833,48,1,2.50,2.50
2019-05-01,08:25:33,8011,24,1,3.00,3.00
2019-05-01,08:25:38,5524,69,1,3.50,3.50
2019-05-01,08:29:23,5418,18,1,10.95,10.95
2019-05-01,08:29:29,5570,74,1,3.50,3.50
2019-05-01,08:33:40,5737,65,2,0.80,1.60
2019-05-01,08:34:12,5682,30,2,3.00,6.00
2019-05-01,08:37:20,5064,24,2,3.00,6.00
2019-05-01,08:37:31,5035,69,2,3.50,7.00
2019-05-01,08:37:37,5654,57,2,3.35,6.70
2019-05-01,08:39:41,5608,33,1,3.50,3.50
2019-05-01,08:47:02,8461,32,8,3.00,24.00
2019-05-01,08:49:47,5101,41,1,4.50,4.50
2019-05-01,08:49:47,5184,69,2,3.50,7.00
2019-05-01,08:52:17,8353,27,1,3.50,3.50
2019-05-01,08:53:02,5034,46,1,2.50,2.50
2019-05-01,08:56:52,8319,69,1,3.50,3.50
2019-05-01,08:58:50,8326,47,1,3.00,3.00
2019-05-01,08:59:14,8208,23,1,2.50,2.50
2019-05-01,09:02:29,8378,43,1,3.00,3.00
2019-05-01,09:03:06,5191,51,2,3.00,6.00
