transaction_date,transaction_time,customer_id,product_id,quantity,unit_price,total_price
2019-04-01,07:01:20,5658,22,2,2.00,4.00
2019-04-01,07:02:34,5163,30,2,3.00,6.00
2019-04-01,07:02:56,5197,22,1,2.00,2.00
2019-04-01,07:03:30,5247,22,2,2.00,4.00
2019-04-01,07:04:24,5333,37,1,3.00,3.00
2019-04-01,07:06:11,5465,32,2,3.00,6.00
2019-04-01,07:06:29,5923,46,1,2.50,2.50
2019-04-01,07:06:32,5627,22,1,2.00,2.00
2019-04-01,07:07:09,5340,59,2,4.50,9.00
2019-04-01,07:07:19,5806,61,1,4.75,4.75
2019-04-01,07:08:56,5895,57,2,3.10,6.20
2019-04-01,07:09:09,5583,49,1,3.00,3.00
2019-04-01,07:09:59,5073,61,2,4.75,9.50
2019-04-01,07:12:10,5050,45,1,3.00,3.00
2019-04-01,07:14:04,5412,59,2,4.50,9.00
2019-04-01,07:15:02,5376,34,1,2.45,2.45
2019-04-01,07:18:04,5224,44,1,2.50,2.50
2019-04-01,07:19:13,5439,39,1,4.25,4.25
2019-04-01,07:19:13,5439,77,1,3.00,3.00
2019-04-01,07:20:00,5720,54,2,2.50,5.00
2019-04-01,07:20:24,5676,22,1,2.00,2.00
2019-04-01,07:20:59,5907,50,2,2.50,5.00
2019-04-01,07:21:23,5921,54,2,2.50,5.00
2019-04-01,07:22:41,5162,40,1,3.75,3.75
2019-04-01,07:22:41,5479,57,2,3.10,6.20
2019-04-01,07:22:41,5479,77,1,3.00,3.00
2019-04-01,07:24:20,5514,53,1,3.00,3.00
2019-04-01,07:25:09,5743,56,2,2.55,5.10
2019-04-01,07:25:09,5743,74,1,3.50,3.50
2019-04-01,07:25:39,5164,47,2,3.00,6.00
2019-04-01,07:25:49,5543,22,1,2.00,2.00
2019-04-01,07:26:59,5178,27,2,3.50,7.00
2019-04-01,07:27:26,5635,53,2,3.00,6.00
2019-04-01,07:27:31,5672,32,1,3.00,3.00
2019-04-01,07:27:31,5672,71,1,3.75,3.75
2019-04-01,07:32:03,5630,61,2,4.75,9.50
2019-04-01,07:33:34,5195,28,2,2.00,4.00
2019-04-01,07:39:13,5231,39,1,4.25,4.25
2019-04-01,07:39:34,5489,58,2,3.50,7.00
2019-04-01,07:41:18,5227,34,2,2.45,4.90
2019-04-01,07:41:34,5115,22,1,2.00,2.00
2019-04-01,07:43:05,5373,56,1,2.55,2.55
2019-04-01,07:44:35,5162,33,2,3.50,7.00
2019-04-01,07:45:51,5394,51,1,3.00,3.00
2019-04-01,07:46:28,5291,24,2,3.00,6.00
2019-04-01,07:46:28,5291,72,1,3.25,3.25
2019-04-01,07:46:30,5508,47,2,3.00,6.00
2019-04-01,07:47:02,5278,58,2,3.50,7.00
2019-04-01,07:48:19,5491,57,1,3.10,3.10
2019-04-01,07:49:41,5593,50,2,2.50,5.00
2019-04-01,07:51:55,5647,25,2,2.20,4.40
2019-04-01,07:52:17,5020,34,2,2.45,4.90
2019-04-01,07:52:36,5180,87,2,3.00,6.00
2019-04-01,07:52:55,5732,26,1,3.00,3.00
2019-04-01,07:53:55,5184,25,1,2.20,2.20
2019-04-01,07:57:58,5656,41,2,4.25,8.50
2019-04-01,07:59:58,5477,47,2,3.00,6.00
2019-04-01,07:59:58,5477,79,1,3.75,3.75
2019-04-01,08:00:18,8480,42,1,2.50,2.50
2019-04-01,08:00:35,5136,36,1,3.75,3.75
2019-04-01,08:00:35,5136,77,1,3.00,3.00
2019-04-01,08:00:39,8353,45,1,3.00,3.00
2019-04-01,08:00:39,8392,59,2,4.50,9.00
2019-04-01,08:01:00,5361,55,2,4.00,8.00
2019-04-01,08:03:55,5181,37,2,3.00,6.00
2019-04-01,08:03:55,5181,79,1,3.75,3.75
2019-04-01,08:05:46,5929,23,1,2.50,2.50
2019-04-01,08:06:19,5651,45,1,3.00,3.00
2019-04-01,08:08:56,5013,41,1,4.25,4.25
2019-04-01,08:08:56,5013,74,1,3.50,3.50
2019-04-01,08:09:09,5873,43,1,3.00,3.00
2019-04-01,08:09:36,5676,31,1,2.20,2.20
2019-04-01,08:11:45,8293,61,1,4.75,4.75
2019-04-01,08:12:03,8291,47,1,3.00,3.00
2019-04-01,08:13:31,5388,54,2,2.50,5.00
2019-04-01,08:15:40,5765,37,2,3.00,6.00
2019-04-01,08:16:50,8326,28,1,2.00,2.00
2019-04-01,08:17:27,8483,33,2,3.50,7.00
2019-04-01,08:17:40,8318,53,2,3.00,6.00
2019-04-01,08:17:58,8170,24,1,3.00,3.00
2019-04-01,08:18:52,5735,51,1,3.00,3.00
2019-04-01,08:21:46,8042,58,1,3.50,3.50
